timestamp,value,parameter,device_id,chip_id,sensor_type,sensor_id,location_id,location,street_name,city,country,latitude,longitude,deployment_date
2022-02-18 06:23:54.123 +0100,25.1,Temperature,49,esp8266-11640216,2,94,18,TUK,Haile Selassie Ave,Nairobi,Kenya,-1.2917189,36.8212484,2018-08-31 13:19:10.690 +0100
2022-02-18 06:24:25.728 +0100,32,PM 2.5,49,esp8266-11640216,9,93,18,TUK,Haile Selassie Ave,Nairobi,Kenya,-1.2917189,36.8212484,2018-08-31 13:18:23.351 +0100
2022-02-18 06:24:25.727 +0100,33.25,PM 10,49,esp8266-11640216,9,93,18,TUK,Haile Selassie Ave,Nairobi,Kenya,-1.2917189,36.8212484,2018-08-31 13:18:23.351 +0100
2022-02-18 06:24:25.727 +0100,23,PM 1,49,esp8266-11640216,9,93,18,TUK,Haile Selassie Ave,Nairobi,Kenya,-1.2917189,36.8212484,2018-08-31 13:18:23.351 +0100
2022-02-18 06:24:26.725 +0100,71.5,Humidity,49,esp8266-11640216,2,94,18,TUK,Haile Selassie Ave,Nairobi,Kenya,-1.2917189,36.8212484,2018-08-31 13:19:10.690 +0100
2022-02-18 06:24:26.725 +0100,25.2,Temperature,49,esp8266-11640216,2,94,18,TUK,Haile Selassie Ave,Nairobi,Kenya,-1.2917189,36.8212484,2018-08-31 13:19:10.690 +0100
2022-02-18 06:24:46.744 +0100,39.75,PM 2.5,38,esp8266-11641603,9,71,7,Code for Kenya,"Nairobi Garage, 8th Floor, Pinetree Plaza, Kaburu Drive, Off Ngong Road, Nairobi",Nairobi,Kenya,-1.2982944,36.79087,2018-08-08 14:56:34.439 +0100
2022-02-18 06:24:46.744 +0100,48.75,PM 10,38,esp8266-11641603,9,71,7,Code for Kenya,"Nairobi Garage, 8th Floor, Pinetree Plaza, Kaburu Drive, Off Ngong Road, Nairobi",Nairobi,Kenya,-1.2982944,36.79087,2018-08-08 14:56:34.439 +0100
2022-02-18 06:24:46.743 +0100,25,PM 1,38,esp8266-11641603,9,71,7,Code for Kenya,"Nairobi Garage, 8th Floor, Pinetree Plaza, Kaburu Drive, Off Ngong Road, Nairobi",Nairobi,Kenya,-1.2982944,36.79087,2018-08-08 14:56:34.439 +0100
2022-02-18 06:24:48.056 +0100,99.9,Humidity,38,esp8266-11641603,2,72,7,Code for Kenya,"Nairobi Garage, 8th Floor, Pinetree Plaza, Kaburu Drive, Off Ngong Road, Nairobi",Nairobi,Kenya,-1.2982944,36.79087,2018-08-08 14:56:50.176 +0100
2022-02-18 06:24:48.056 +0100,19.9,Temperature,38,esp8266-11641603,2,72,7,Code for Kenya,"Nairobi Garage, 8th Floor, Pinetree Plaza, Kaburu Drive, Off Ngong Road, Nairobi",Nairobi,Kenya,-1.2982944,36.79087,2018-08-08 14:56:50.176 +0100
2022-02-18 06:24:58.136 +0100,31,PM 2.5,49,esp8266-11640216,9,93,18,TUK,Haile Selassie Ave,Nairobi,Kenya,-1.2917189,36.8212484,2018-08-31 13:18:23.351 +0100
2022-02-18 06:24:58.135 +0100,33,PM 10,49,esp8266-11640216,9,93,18,TUK,Haile Selassie Ave,Nairobi,Kenya,-1.2917189,36.8212484,2018-08-31 13:18:23.351 +0100
2022-02-18 06:24:58.135 +0100,23,PM 1,49,esp8266-11640216,9,93,18,TUK,Haile Selassie Ave,Nairobi,Kenya,-1.2917189,36.8212484,2018-08-31 13:18:23.351 +0100
2022-02-18 06:24:59.160 +0100,71.9,Humidity,49,esp8266-11640216,2,94,18,TUK,Haile Selassie Ave,Nairobi,Kenya,-1.2917189,36.8212484,2018-08-31 13:19:10.690 +0100
2022-02-18 06:24:59.159 +0100,25.2,Temperature,49,esp8266-11640216,2,94,18,TUK,Haile Selassie Ave,Nairobi,Kenya,-1.2917189,36.8212484,2018-08-31 13:19:10.690 +0100
2022-02-18 06:25:30.266 +0100,33.2,PM 2.5,49,esp8266-11640216,9,93,18,TUK,Haile Selassie Ave,Nairobi,Kenya,-1.2917189,36.8212484,2018-08-31 13:18:23.351 +0100
2022-02-18 06:25:30.266 +0100,38.8,PM 10,49,esp8266-11640216,9,93,18,TUK,Haile Selassie Ave,Nairobi,Kenya,-1.2917189,36.8212484,2018-08-31 13:18:23.351 +0100
2022-02-18 06:25:30.265 +0100,23,PM 1,49,esp8266-11640216,9,93,18,TUK,Haile Selassie Ave,Nairobi,Kenya,-1.2917189,36.8212484,2018-08-31 13:18:23.351 +0100
2022-02-18 06:25:31.332 +0100,71.7,Humidity,49,esp8266-11640216,2,94,18,TUK,Haile Selassie Ave,Nairobi,Kenya,-1.2917189,36.8212484,2018-08-31 13:19:10.690 +0100
2022-02-18 06:25:31.331 +0100,25.2,Temperature,49,esp8266-11640216,2,94,18,TUK,Haile Selassie Ave,Nairobi,Kenya,-1.2917189,36.8212484,2018-08-31 13:19:10.690 +0100
2022-02-18 06:25:31.776 +0100,34.4,PM 2.5,103,esp8266-1535298,9,174,76,GIZ Kenya Energy Office,,Nairobi,Kenya,-1.261,36.782,2020-08-12 09:18:22.156 +0100
2022-02-18 06:25:31.776 +0100,43.2,PM 10,103,esp8266-1535298,9,174,76,GIZ Kenya Energy Office,,Nairobi,Kenya,-1.261,36.782,2020-08-12 09:18:22.156 +0100
2022-02-18 06:25:31.775 +0100,21.8,PM 1,103,esp8266-1535298,9,174,76,GIZ Kenya Energy Office,,Nairobi,Kenya,-1.261,36.782,2020-08-12 09:18:22.156 +0100
2022-02-18 06:26:03.864 +0100,32,PM 2.5,49,esp8266-11640216,9,93,18,TUK,Haile Selassie Ave,Nairobi,Kenya,-1.2917189,36.8212484,2018-08-31 13:18:23.351 +0100
2022-02-18 06:26:03.864 +0100,35,PM 10,49,esp8266-11640216,9,93,18,TUK,Haile Selassie Ave,Nairobi,Kenya,-1.2917189,36.8212484,2018-08-31 13:18:23.351 +0100
2022-02-18 06:26:03.864 +0100,23,PM 1,49,esp8266-11640216,9,93,18,TUK,Haile Selassie Ave,Nairobi,Kenya,-1.2917189,36.8212484,2018-08-31 13:18:23.351 +0100
2022-02-18 06:26:05.300 +0100,71.6,Humidity,49,esp8266-11640216,2,94,18,TUK,Haile Selassie Ave,Nairobi,Kenya,-1.2917189,36.8212484,2018-08-31 13:19:10.690 +0100
2022-02-18 06:26:05.299 +0100,25.2,Temperature,49,esp8266-11640216,2,94,18,TUK,Haile Selassie Ave,Nairobi,Kenya,-1.2917189,36.8212484,2018-08-31 13:19:10.690 +0100
2022-02-18 06:26:37.096 +0100,32.6,PM 2.5,49,esp8266-11640216,9,93,18,TUK,Haile Selassie Ave,Nairobi,Kenya,-1.2917189,36.8212484,2018-08-31 13:18:23.351 +0100
2022-02-18 06:26:37.096 +0100,37.2,PM 10,49,esp8266-11640216,9,93,18,TUK,Haile Selassie Ave,Nairobi,Kenya,-1.2917189,36.8212484,2018-08-31 13:18:23.351 +0100
2022-02-18 06:26:37.096 +0100,22.6,PM 1,49,esp8266-11640216,9,93,18,TUK,Haile Selassie Ave,Nairobi,Kenya,-1.2917189,36.8212484,2018-08-31 13:18:23.351 +0100
2022-02-18 06:26:38.380 +0100,71.8,Humidity,49,esp8266-11640216,2,94,18,TUK,Haile Selassie Ave,Nairobi,Kenya,-1.2917189,36.8212484,2018-08-31 13:19:10.690 +0100
2022-02-18 06:26:38.379 +0100,25.2,Temperature,49,esp8266-11640216,2,94,18,TUK,Haile Selassie Ave,Nairobi,Kenya,-1.2917189,36.8212484,2018-08-31 13:19:10.690 +0100
2022-02-18 06:27:09.840 +0100,31.75,PM 2.5,49,esp8266-11640216,9,93,18,TUK,Haile Selassie Ave,Nairobi,Kenya,-1.2917189,36.8212484,2018-08-31 13:18:23.351 +0100
2022-02-18 06:27:09.840 +0100,34.25,PM 10,49,esp8266-11640216,9,93,18,TUK,Haile Selassie Ave,Nairobi,Kenya,-1.2917189,36.8212484,2018-08-31 13:18:23.351 +0100
2022-02-18 06:27:09.840 +0100,23,PM 1,49,esp8266-11640216,9,93,18,TUK,Haile Selassie Ave,Nairobi,Kenya,-1.2917189,36.8212484,2018-08-31 13:18:23.351 +0100
2022-02-18 06:27:10.824 +0100,71.8,Humidity,49,esp8266-11640216,2,94,18,TUK,Haile Selassie Ave,Nairobi,Kenya,-1.2917189,36.8212484,2018-08-31 13:19:10.690 +0100
2022-02-18 06:27:10.824 +0100,25.2,Temperature,49,esp8266-11640216,2,94,18,TUK,Haile Selassie Ave,Nairobi,Kenya,-1.2917189,36.8212484,2018-08-31 13:19:10.690 +0100
2022-02-18 06:27:14.524 +0100,38,PM 2.5,38,esp8266-11641603,9,71,7,Code for Kenya,"Nairobi Garage, 8th Floor, Pinetree Plaza, Kaburu Drive, Off Ngong Road, Nairobi",Nairobi,Kenya,-1.2982944,36.79087,2018-08-08 14:56:34.439 +0100
2022-02-18 06:27:14.524 +0100,43,PM 10,38,esp8266-11641603,9,71,7,Code for Kenya,"Nairobi Garage, 8th Floor, Pinetree Plaza, Kaburu Drive, Off Ngong Road, Nairobi",Nairobi,Kenya,-1.2982944,36.79087,2018-08-08 14:56:34.439 +0100
2022-02-18 06:27:14.524 +0100,26,PM 1,38,esp8266-11641603,9,71,7,Code for Kenya,"Nairobi Garage, 8th Floor, Pinetree Plaza, Kaburu Drive, Off Ngong Road, Nairobi",Nairobi,Kenya,-1.2982944,36.79087,2018-08-08 14:56:34.439 +0100
2022-02-18 06:27:15.852 +0100,99.9,Humidity,38,esp8266-11641603,2,72,7,Code for Kenya,"Nairobi Garage, 8th Floor, Pinetree Plaza, Kaburu Drive, Off Ngong Road, Nairobi",Nairobi,Kenya,-1.2982944,36.79087,2018-08-08 14:56:50.176 +0100
2022-02-18 06:27:15.852 +0100,20.1,Temperature,38,esp8266-11641603,2,72,7,Code for Kenya,"Nairobi Garage, 8th Floor, Pinetree Plaza, Kaburu Drive, Off Ngong Road, Nairobi",Nairobi,Kenya,-1.2982944,36.79087,2018-08-08 14:56:50.176 +0100
2022-02-18 06:27:42.388 +0100,33,PM 2.5,49,esp8266-11640216,9,93,18,TUK,Haile Selassie Ave,Nairobi,Kenya,-1.2917189,36.8212484,2018-08-31 13:18:23.351 +0100
2022-02-18 06:27:42.388 +0100,35.8,PM 10,49,esp8266-11640216,9,93,18,TUK,Haile Selassie Ave,Nairobi,Kenya,-1.2917189,36.8212484,2018-08-31 13:18:23.351 +0100
2022-02-18 06:27:42.388 +0100,23,PM 1,49,esp8266-11640216,9,93,18,TUK,Haile Selassie Ave,Nairobi,Kenya,-1.2917189,36.8212484,2018-08-31 13:18:23.351 +0100
2022-02-18 06:27:43.448 +0100,71.6,Humidity,49,esp8266-11640216,2,94,18,TUK,Haile Selassie Ave,Nairobi,Kenya,-1.2917189,36.8212484,2018-08-31 13:19:10.690 +0100
2022-02-18 06:27:43.447 +0100,25.3,Temperature,49,esp8266-11640216,2,94,18,TUK,Haile Selassie Ave,Nairobi,Kenya,-1.2917189,36.8212484,2018-08-31 13:19:10.690 +0100
2022-02-18 06:28:07.473 +0100,34,PM 2.5,103,esp8266-1535298,9,174,76,GIZ Kenya Energy Office,,Nairobi,Kenya,-1.261,36.782,2020-08-12 09:18:22.156 +0100
2022-02-18 06:28:07.473 +0100,41,PM 10,103,esp8266-1535298,9,174,76,GIZ Kenya Energy Office,,Nairobi,Kenya,-1.261,36.782,2020-08-12 09:18:22.156 +0100
2022-02-18 06:28:07.473 +0100,21.67,PM 1,103,esp8266-1535298,9,174,76,GIZ Kenya Energy Office,,Nairobi,Kenya,-1.261,36.782,2020-08-12 09:18:22.156 +0100
2022-02-18 06:28:14.676 +0100,32.2,PM 2.5,49,esp8266-11640216,9,93,18,TUK,Haile Selassie Ave,Nairobi,Kenya,-1.2917189,36.8212484,2018-08-31 13:18:23.351 +0100
2022-02-18 06:28:14.676 +0100,34.2,PM 10,49,esp8266-11640216,9,93,18,TUK,Haile Selassie Ave,Nairobi,Kenya,-1.2917189,36.8212484,2018-08-31 13:18:23.351 +0100
2022-02-18 06:28:14.676 +0100,23.2,PM 1,49,esp8266-11640216,9,93,18,TUK,Haile Selassie Ave,Nairobi,Kenya,-1.2917189,36.8212484,2018-08-31 13:18:23.351 +0100
2022-02-18 06:28:15.848 +0100,71.5,Humidity,49,esp8266-11640216,2,94,18,TUK,Haile Selassie Ave,Nairobi,Kenya,-1.2917189,36.8212484,2018-08-31 13:19:10.690 +0100
